Name,Team,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,xFIP,WAR
Joel Payamps,2 Tms,30,0,26.1,8.2,3.08,1.37,0.346,60.4,6.84,4.54,4.91,-0.1
Connor Gillispie,MIA,6,6,26.0,7.96,3.81,2.08,0.317,50.6,8.65,5.75,5.06,0.0
José Alvarado,PHI,28,0,26.0,11.08,2.42,1.38,0.329,78.2,3.81,3.6,2.96,0.3
Ryan Brasier,CHC,28,1,26.0,6.92,1.73,0.69,0.321,65.1,4.5,3.17,3.66,0.3
Colin Holderman,PIT,24,0,25.2,6.31,5.61,1.4,0.353,66.8,7.01,5.86,5.34,-0.5
Brooks Raley,NYM,30,0,25.2,8.77,2.1,0.0,0.212,68.2,2.45,2.12,3.86,0.8
Kevin Ginkel,ARI,29,0,25.2,10.17,4.56,0.7,0.36,53.4,7.36,3.64,4.49,0.2
McCade Brown,COL,7,7,25.2,8.06,5.96,2.1,0.32,71.1,7.36,6.95,6.14,-0.3
Kyle Backhus,ARI,32,0,25.1,7.82,2.84,1.07,0.316,71.8,4.62,4.24,4.28,0.0
Ian Gibaut,CIN,25,0,25.1,5.33,2.84,1.07,0.277,70.5,4.62,4.44,5.33,0.1
Logan Henderson,MIL,5,5,25.1,11.72,2.84,1.07,0.255,96.2,1.78,3.02,3.36,0.8
Clayton Beeter,2 Tms,26,0,25.1,11.72,6.39,1.07,0.2,70.9,4.26,4.2,4.0,0.2
Anthony Veneziano,2 Tms,26,1,25.0,9.0,3.96,1.44,0.32,79.1,4.68,4.78,4.18,-0.2
Connor Phillips,CIN,21,0,25.0,11.52,4.32,1.08,0.163,76.9,2.88,3.82,3.86,0.2
Jorge López,WSN,26,0,24.2,6.2,2.55,0.36,0.308,50.6,6.57,3.5,4.47,0.3
Paxton Schultz,TOR,13,2,24.2,10.22,2.92,1.46,0.333,65.8,4.38,4.07,3.77,0.1
PJ Poulin,WSN,28,0,24.2,9.85,4.74,0.73,0.318,79.5,3.65,3.82,4.33,0.2
Matt Bowman,BAL,20,0,24.2,6.57,2.19,1.46,0.321,62.9,6.2,4.76,4.96,0.0
Mitch Farris,LAA,5,5,24.1,8.88,4.07,1.48,0.299,55.9,6.66,4.78,4.8,0.1
Easton Lucas,TOR,6,5,24.1,8.51,4.44,1.85,0.294,63.3,6.66,5.4,4.75,0.0
Orlando Ribalta,WSN,22,0,24.1,9.25,6.29,2.22,0.31,71.8,7.03,6.51,5.64,-0.3
Michael Tonkin,MIN,21,0,24.0,7.13,3.0,1.13,0.25,69.4,4.88,4.8,5.1,-0.1
Justin Hagenman,NYM,9,1,23.2,8.75,0.76,1.52,0.29,65.4,4.56,3.77,3.53,0.2
Andrew Alvarez,WSN,5,5,23.1,7.71,3.86,0.39,0.227,74.2,2.31,3.39,4.16,0.6
Carson Whisenhunt,SFG,5,5,23.1,6.17,4.63,2.31,0.242,79.7,5.01,6.91,5.48,-0.4
John Brebbia,2 Tms,22,0,23.1,10.03,4.63,1.93,0.338,56.8,7.71,5.75,5.34,-0.2
Brent Headrick,NYY,17,0,23.0,11.74,2.74,1.57,0.26,87.6,3.13,3.83,3.25,0.1
Grant Holman,ATH,22,2,23.0,6.65,3.52,1.17,0.315,69.2,5.09,4.66,4.97,0.0
Zach Brzykcy,WSN,26,0,23.0,9.39,4.7,2.35,0.333,56.5,9.0,6.27,5.29,-0.3
Justin Steele,CHC,4,4,22.2,8.34,1.99,1.99,0.267,75.0,4.76,4.94,3.64,0.0
Cole Sulser,TBR,18,0,22.2,8.74,2.78,0.4,0.317,85.9,1.99,2.69,3.48,0.4
Mason Barnett,ATH,5,5,22.1,7.25,4.43,1.21,0.324,59.2,6.85,4.88,5.34,0.2
Joel Peguero,SFG,17,0,22.1,6.85,3.22,0.81,0.22,79.2,2.42,3.85,4.28,0.0
Bryce Jarvis,ARI,12,0,22.0,8.59,4.09,1.23,0.317,67.1,5.73,4.5,4.9,0.0
Hunter Strickland,LAA,19,0,22.0,5.73,4.09,0.82,0.231,74.4,3.27,4.41,5.33,0.0
Beau Brieske,DET,22,1,22.0,6.55,4.91,2.05,0.271,55.2,6.55,6.27,5.63,-0.5
Rob Zastryzny,MIL,26,1,22.0,8.18,4.09,1.23,0.22,87.7,2.45,4.59,4.85,0.0
Tyler Wells,BAL,4,4,21.2,7.48,0.83,1.66,0.224,89.6,2.91,4.15,4.17,0.3
